,DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/ Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,dbn,total_students,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,pct_stu_safe,girls,boys,pbat,international,specialized,transfer,ptech,earlycollege,school_accessibility_description,zip,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL
62,02M615,Chelsea Career and Technical Education High School,High School,437,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.75,0.77,0.69,0.83,0.79,0.88,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"March 25, 2015",2.82,2.56,0.034,0.192,0.006999999999999999,0.6920000000000001,0.069,0.10300000000000001,0.5329999999999999,0.11199999999999999,0.217,0.595,0.053,1.9,0.909,0.856,0.445,0.966,02M615,430,0.75,0.86,0.66,0.57,0.91,,,,,,,,,,10013,40.7244,-74.004625,2,3,37,1007378.0,1004910016.0
63,02M630,Art and Design High School,High School,1447,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.81,0.73,0.73,0.8,0.84,0.82,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,October 2016,3.21,2.82,0.011000000000000001,0.203,0.019,0.506,0.027000000000000003,0.068,0.32799999999999996,0.073,0.19399999999999998,0.556,0.138,1.4,0.787,0.9,0.29,0.965,02M630,1447,0.85,0.9,0.84,0.66,0.92,,,,,,,,,1.0,10019,40.759240000000005,-73.967203,6,4,108,1088892.0,1013300013.0
64,02M655,Life Sciences Secondary School,High School,566,Not Meeting Target,Approaching Target,Not Meeting Target,Not Meeting Target,,,Approaching Target,0.67,0.74,0.61,0.65,0.7,0.76,Developing,Developing,Developing,Developing,Proficient,,,,,,"April 12, 2016",2.67,2.31,0.092,0.193,0.025,0.743,0.076,0.15,0.555,0.053,0.297,0.5870000000000001,0.035,2.0,0.867,0.7959999999999999,0.565,0.951,02M655,574,0.6,0.8,0.61,0.47,0.66,,,,,,,,,,10128,40.783625,-73.945637,8,5,15601,1050338.0,1015580034.0
65,03M299,The Maxine Greene HS for Imaginative Inquiry,High School,442,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.73,0.69,0.67,0.71,0.81,0.87,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,"February 27, 2015",2.61,2.19,0.124,0.217,0.005,0.759,0.12,0.149,0.5660000000000001,0.016,0.376,0.563,0.02,12.0,0.519,0.826,0.473,0.9670000000000001,03M299,378,0.67,0.83,0.68,0.4,0.83,,,,,,,,,2.0,10023,40.774351,-73.984753,7,6,151,1030343.0,1011570025.0
66,03M307,"Urban Assembly School for Media Studies, The",High School,408,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.87,0.97,0.77,0.98,0.85,0.94,Well Developed,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,May 2017,2.63,2.26,0.064,0.18100000000000002,0.0,0.726,0.11800000000000001,0.125,0.525,0.027000000000000003,0.385,0.539,0.02,8.5,0.556,0.84,0.517,0.972,03M307,397,0.77,0.84,0.83,0.54,0.92,,,,,,,,,2.0,10023,40.774351,-73.984753,7,6,151,1030343.0,1011570025.0
67,03M402,The Urban Assembly School for Green Careers,High School,319,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.81,0.9,0.73,0.93,0.78,0.89,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"February 26, 2016",2.58,2.2,0.138,0.27899999999999997,0.009000000000000001,0.753,0.129,0.141,0.552,0.016,0.27,0.643,0.044000000000000004,1.0,0.44799999999999995,0.8420000000000001,0.46799999999999997,0.978,03M402,311,0.83,0.84,0.69,0.43,0.92,,,,,,,,,1.0,10024,40.785803,-73.974614,7,6,169,1032128.0,1012150001.0
68,03M403,The Global Learning Collaborative,High School,428,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,0.79,0.82,0.72,0.93,0.92,0.88,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,May 2017,2.58,2.26,0.161,0.19399999999999998,0.005,0.743,0.126,0.157,0.551,0.019,0.243,0.682,0.042,4.9,0.727,0.8590000000000001,0.349,0.965,03M403,436,0.76,0.86,0.71,0.6,0.88,,,,,,,,,1.0,10024,40.785803,-73.974614,7,6,169,1032128.0,1012150001.0
69,03M415,Wadleigh Secondary School for the Performing & Vis,High School,262,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.73,0.74,0.68,0.75,0.86,0.8,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,May 2017,2.62,2.14,0.027000000000000003,0.237,0.053,0.726,0.107,0.145,0.546,0.011000000000000001,0.523,0.42700000000000005,0.023,2.0,0.857,0.8109999999999999,0.508,0.961,03M415,278,0.75,0.81,0.74,0.4,0.91,,,,,,,,,2.0,10026,40.802207,-73.954142,10,9,218,1055204.0,1018300019.0
70,03M417,Frank Mccourt High School,High School,411,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.9,0.7,0.89,0.87,0.87,Well Developed,Well Developed,Proficient,Proficient,Well Developed,,,,,,2015-02-09T00:00:00.000,3.3,2.96,0.01,0.207,0.015,0.449,0.012,0.039,0.287,0.051,0.17300000000000001,0.43799999999999994,0.297,7.0,0.792,0.927,0.217,0.973,03M417,411,0.97,0.93,0.68,0.78,0.85,,,,,,,,,1.0,10024,40.785803,-73.974614,7,6,169,1032128.0,1012150001.0
71,03M479,Beacon High School,High School,1304,Exceeding Target,Meeting Target,Exceeding Target,Not Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.88,0.76,0.83,0.71,0.83,0.82,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"December 17, 2014",3.87,3.73,0.002,0.079,0.012,0.263,0.008,0.015,0.134,0.08199999999999999,0.14,0.201,0.522,12.9,0.917,0.9640000000000001,0.062,0.9790000000000001,03M479,1380,1.0,0.96,0.96,0.87,0.96,,,1.0,,,,,,1.0,10036,40.761452,-73.995802,4,3,129,1026924.0,1010720015.0
72,03M485,Fiorello H. LaGuardia High School of Music & Art a,High School,2697,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,0.78,0.67,0.69,0.59,0.8,0.71,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,January 2017,3.92,3.82,0.001,0.024,0.0,0.249,0.003,0.013999999999999999,0.115,0.191,0.11199999999999999,0.185,0.44299999999999995,3.8,0.8490000000000001,0.9520000000000001,0.102,0.9570000000000001,03M485,2809,0.98,0.95,0.91,0.82,0.94,,,,,1.0,,,,2.0,10023,40.773629,-73.98527299999999,7,6,151,1030341.0,1011560030.0
73,03M492,"High School for Law, Advocacy and Community Justic",High School,498,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.83,0.88,0.69,0.89,0.86,0.91,Proficient,Well Developed,Well Developed,Proficient,Well Developed,,,,,,"January 13, 2015",2.8,2.41,0.066,0.177,0.018000000000000002,0.7390000000000001,0.07400000000000001,0.161,0.542,0.024,0.376,0.5760000000000001,0.018000000000000002,5.8,0.6859999999999999,0.84,0.445,0.96,03M492,466,0.73,0.84,0.73,0.63,0.79,,,,,,,,,2.0,10023,40.774351,-73.984753,7,6,151,1030343.0,1011570025.0
74,03M494,High School of Arts and Technology,High School,542,Not Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.68,0.63,0.56,0.6,0.81,0.73,Developing,Developing,Under Developed,Developing,Developing,Proficient,Proficient,Developing,Proficient,Under Developed,October 2016,2.55,2.2,0.10300000000000001,0.247,0.044000000000000004,0.777,0.138,0.166,0.607,0.035,0.36700000000000005,0.561,0.024,14.9,0.833,0.82,0.452,0.966,03M494,504,0.74,0.82,0.5,0.34,0.7,,,,,,,,,2.0,10023,40.774351,-73.984753,7,6,151,1030343.0,1011570025.0
75,03M541,Manhattan / Hunter Science High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.84,0.85,0.81,0.87,0.83,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,"January 16, 2015",3.74,3.7,0.004,0.133,0.0,0.434,0.004,0.038,0.242,0.251,0.16399999999999998,0.364,0.171,3.8,0.833,0.972,0.055999999999999994,0.9690000000000001,03M541,442,0.99,0.97,0.77,0.88,0.95,,,,,,,,1.0,2.0,10023,40.774351,-73.984753,7,6,151,1030343.0,1011570025.0
